Feb 14 01:01:32 gremlin-1 systemd[1]: exo.service: State 'stop-sigterm' timed out. Killing.
Feb 14 01:01:32 gremlin-1 systemd[1]: exo.service: Killing process 1070975 (.exo-wrapped) with signal SIGKILL.
Feb 14 01:01:32 gremlin-1 systemd[1]: exo.service: Killing process 1071018 (python3.13) with signal SIGKILL.
Feb 14 01:01:32 gremlin-1 systemd[1]: exo.service: Main process exited, code=killed, status=9/KILL
Feb 14 01:01:32 gremlin-1 systemd[1]: exo.service: Failed with result 'timeout'.
Feb 14 01:01:32 gremlin-1 systemd[1]: Stopped exo Distributed AI Inference Service.
Feb 14 01:01:32 gremlin-1 systemd[1]: exo.service: Consumed 1min 31.946s CPU time, 16.7G memory peak, 10.9G read from disk, 408K written to disk, 8.7G incoming IP traffic, 197.1M outgoing IP traffic.
Feb 14 01:01:32 gremlin-1 systemd[1]: Starting exo Distributed AI Inference Service...
Feb 14 01:01:32 gremlin-1 systemd[1]: Started exo Distributed AI Inference Service.
Feb 14 01:01:35 gremlin-1 exo[1116617]: [ 01:01:35.152 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 16: NodeDownloadProgress(event_id='6237466e-e3a1-401f-b149-f02a1e41532d' download_progress=DownloadPendi
Feb 14 01:01:35 gremlin-1 exo[1116617]: [ 01:01:35.153 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='6237466e-e3a1-401f-b149-f02a1e41532d' download_progress=DownloadPendi
Feb 14 01:01:35 gremlin-1 exo[1116617]: [ 01:01:35.199 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 17: NodeDownloadProgress(event_id='b03d0de6-ce0d-471d-9903-c0f2116b7ade' download_progress=DownloadPendi
Feb 14 01:01:35 gremlin-1 exo[1116617]: [ 01:01:35.201 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='b03d0de6-ce0d-471d-9903-c0f2116b7ade' download_progress=DownloadPendi
Feb 14 01:01:35 gremlin-1 exo[1116617]: [ 01:01:35.248 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 18: NodeDownloadProgress(event_id='5dae43aa-af1b-46ed-b0ce-c707d201ceab' download_progress=DownloadPendi
Feb 14 01:01:35 gremlin-1 exo[1116617]: [ 01:01:35.249 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='5dae43aa-af1b-46ed-b0ce-c707d201ceab' download_progress=DownloadPendi
Feb 14 01:01:35 gremlin-1 exo[1116617]: [ 01:01:35.285 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 19: NodeDownloadProgress(event_id='ae1a0b6c-1785-4b6c-97f2-82d192100911' download_progress=DownloadPendi
Feb 14 01:01:35 gremlin-1 exo[1116617]: [ 01:01:35.286 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 20: NodeDownloadProgress(event_id='1711e277-f8f0-492c-b6ec-863257456f0e' download_progress=DownloadPendi
Feb 14 01:01:35 gremlin-1 exo[1116617]: [ 01:01:35.287 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='ae1a0b6c-1785-4b6c-97f2-82d192100911' download_progress=DownloadPendi
Feb 14 01:01:35 gremlin-1 exo[1116617]: [ 01:01:35.288 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='1711e277-f8f0-492c-b6ec-863257456f0e' download_progress=DownloadPendi
Feb 14 01:01:35 gremlin-1 exo[1116617]: [ 01:01:35.357 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 21: NodeDownloadProgress(event_id='5352143b-6b10-49ba-992e-f0415f5d33dc' download_progress=DownloadPendi
Feb 14 01:01:35 gremlin-1 exo[1116617]: [ 01:01:35.359 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='5352143b-6b10-49ba-992e-f0415f5d33dc' download_progress=DownloadPendi
Feb 14 01:01:35 gremlin-1 exo[1116617]: [ 01:01:35.412 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 22: NodeDownloadProgress(event_id='352be2db-93a2-48c0-874b-dbc2d42adb54' download_progress=DownloadPendi
Feb 14 01:01:35 gremlin-1 exo[1116617]: [ 01:01:35.414 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='352be2db-93a2-48c0-874b-dbc2d42adb54' download_progress=DownloadPendi
Feb 14 01:01:35 gremlin-1 exo[1116617]: [ 01:01:35.460 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 23: NodeDownloadProgress(event_id='bbf6fe3c-b952-4c91-a647-86d14c63c4de' download_progress=DownloadPendi
